Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
98,10.14,-0.9,Dexter LEE,18-Jan-91,JAM,4sf1,Kingston (JAM),1-Jul-16,1164
1,9.74,0.9,Justin GATLIN,10-Feb-82,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15-May-15,1298
2,9.79,-0.5,Usain BOLT,21-Aug-86,JAM,1,"National Stadium, Beijing (CHN)",23-Aug-15,1283
3,9.81,1.3,Asafa POWELL,23-Nov-82,JAM,1,Paris (FRA),4-Jul-15,1273
4,9.84,1.3,Trayvon BROMELL,10-Jul-95,USA,1h4,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1262
5,9.86,1.1,Keston BLEDMAN,8-Mar-88,TTO,1f2,Port-of-Spain (TTO),27-Jun-15,1255
5,9.86,1.3,Jimmy VICAUT,27-Feb-92,FRA,2,Paris (FRA),4-Jul-15,1255
5,9.86,0.9,Michael RODGERS,24-Apr-85,USA,2sf2,"National Stadium, Beijing (CHN)",23-Aug-15,1255
8,9.87,0,Tyson GAY,9-Aug-82,USA,1,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1252
9,9.91,1.8,Femi OGUNODE,15-May-91,QAT,1,Wuhan (CHN),4-Jun-15,1238
9,9.91,0.9,Nickel ASHMEADE,7-Apr-90,JAM,2,Kingston (JAM),26-Jun-15,1238
11,9.92,-0.8,Kemar BAILEY-COLE,10-Jan-92,JAM,3,"Olympic Stadium, London (GBR)",24-Jul-15,1238
11,9.92,-0.5,André DE GRASSE,10-Nov-94,CAN,3,"National Stadium, Beijing (CHN)",23-Aug-15,1237
13,9.93,1.7,Clayton VAUGHN,15-May-92,USA,1,"Mobile, AL (USA)",8-May-15,1231
13,9.93,1.8,Ryan BAILEY,13-Apr-89,USA,2f1,"National Stadium, Kingston (JAM)",9-May-15,1231
13,9.93,2,Marvin BRACY,15-Dec-93,USA,1,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1231
16,9.94,1.7,Diondre BATSON,13-Jul-92,USA,2h2,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1227
16,9.94,1.4,Andrew FISHER,15-Dec-91,JAM,2,"Moratalaz, Madrid (ESP)",11-Jul-15,1227
18,9.96,1.3,Quentin BUTLER,18-Sep-92,USA,2h4,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1220
18,9.96,-0.8,Chijindu UJAH,5-Mar-94,GBR,4,"Olympic Stadium, London (GBR)",24-Jul-15,1224
20,9.97,2,Adam GEMILI,6-Oct-93,GBR,2,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1217
20,9.97,0.8,Henrico BRUINTJIES,16-Jul-93,RSA,1h1,La Chaux-de-Fonds (SUI),5-Jul-15,1217
20,9.97,0,Akani SIMBINE,21-Sep-93,RSA,1,"Main Stadium, Gwangju (KOR)",9-Jul-15,1217
23,9.98,1.8,Nesta CARTER,11-Oct-85,JAM,3f1,"National Stadium, Kingston (JAM)",9-May-15,1213
23,9.98,1.8,Kim COLLINS,5-Apr-76,SKN,1f1,Basseterre (SKN),13-Jun-15,1213
25,9.99,1.6,Bryce ROBINSON,13-Nov-93,USA,1,"Storrs, CT (USA)",16-May-15,1210
25,9.99,1.5,Bingtian SU,29-Aug-89,CHN,3,"Hayward Field, Eugene, OR (USA)",30-May-15,1210
25,9.99,1.7,Beejay LEE,5-Mar-93,USA,3h2,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1210
28,10,0,Isiah YOUNG,5-Jan-90,USA,4,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1206
29,10.01,1.7,Sean MCLEAN,23-Mar-92,USA,4h2,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1203
29,10.01,-0.2,Jak Ali HARVEY,4-May-89,TUR,1,Ankara (TUR),4-Sep-15,1204
31,10.02,1.7,Charles SILMON,4-Jul-91,USA,5h2,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1199
31,10.02,-0.3,Ramon GITTENS,20-Jul-87,BAR,2h3,"National Stadium, Beijing (CHN)",22-Aug-15,1200
33,10.03,0.9,Senoj-Jay GIVANS,30-Dec-93,JAM,1sf2,"Eugene, OR (USA)",10-Jun-15,1196
33,10.03,1.8,Antoine ADAMS,31-Aug-88,SKN,2f1,Basseterre (SKN),13-Jun-15,1196
35,10.04,1,Richard THOMPSON,7-Jun-85,TTO,1f1,"Baton Rouge, LA (USA)",18-Apr-15,1193
35,10.04,1.5,Calesio NEWMAN,20-Aug-86,USA,1,"Greensboro, NC (USA)",17-May-15,1193
35,10.04,1.7,Jarrion LAWSON,6-May-94,USA,3sf1,"Eugene, OR (USA)",10-Jun-15,1193
35,10.04,1.4,Kolby LISTENBEE,25-Jan-94,USA,1sf3,"Eugene, OR (USA)",10-Jun-15,1193
35,10.04,1.4,Ameer WEBB,19-Mar-91,USA,3,"Moratalaz, Madrid (ESP)",11-Jul-15,1193
35,10.04,-2.1,Ben Youssef MEITÉ,11-Nov-86,CIV,1,Brazzaville (CGO),14-Sep-15,1205
41,10.05,1.8,Ronnie BAKER,15-Oct-93,USA,1h1,"Ames, IA (USA)",16-May-15,1189
41,10.05,1.8,Tevin HESTER,10-Jan-94,USA,1h5,"Jacksonville, FL (USA)",28-May-15,1189
41,10.05,2,Richard KILTY,2-Sep-89,GBR,5,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1189
44,10.06,1.9,Julian FORTE,7-Jan-93,JAM,3h1,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1186
44,10.06,1.7,Levi Asher CADOGAN,8-Nov-95,BAR,1f2,St. Michael (BAR),20-Jun-15,1186
44,10.06,1,Jason LIVERMORE,25-Apr-88,JAM,3h3,Kingston (JAM),25-Jun-15,1186
44,10.06,-0.2,Churandy MARTINA,3-Jul-84,NED,3h7,"National Stadium, Beijing (CHN)",22-Aug-15,1187
44,10.06,0.3,Ogho-Oghene EGWERO,26-Nov-88,NGR,1sf2,Brazzaville (CGO),13-Sep-15,1186
49,10.07,1.9,John TEETERS,19-May-93,USA,1h2,"Ames, IA (USA)",16-May-15,1182
49,10.07,1.4,Kendal WILLIAMS,23-Sep-95,USA,2sf3,"Eugene, OR (USA)",10-Jun-15,1182
49,10.07,0,Remontay MCCLAIN,21-Sep-92,USA,5,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1182
49,10.07,1.4,Kemar HYMAN,11-Oct-89,CAY,4,"Moratalaz, Madrid (ESP)",11-Jul-15,1182
49,10.07,0.7,Christophe LEMAITRE,11-Jun-90,FRA,2,Villeneuve d'Ascq (FRA),11-Jul-15,1182
49,10.07,-0.8,Trell KIMMONS,13-Jul-85,USA,6,"Olympic Stadium, London (GBR)",24-Jul-15,1186
49,10.07,1.9,Sheldon MITCHELL,19-Jul-90,JAM,1h2,San José (CRC),7-Aug-15,1182
56,10.08,0.7,Harry ADAMS,27-Nov-89,USA,1f1,"Coral Gables, FL (USA)",11-Apr-15,1179
57,10.09,-0.1,Wilfried KOFFI HUA,12-Oct-87,CIV,1,"Todoroki Stadium, Kawasaki (JPN)",10-May-15,1176
57,10.09,-0.1,Kei TAKASE,25-Nov-88,JPN,2,"Todoroki Stadium, Kawasaki (JPN)",10-May-15,1176
57,10.09,1.1,Gavin SMELLIE,26-Jun-86,CAN,1h1,Edmonton (CAN),3-Jul-15,1176
57,10.09,1.8,Julian REUS,29-Apr-88,GER,1h1,Nürnberg (GER),25-Jul-15,1176
57,10.09,0.3,Yoshihide KIRYU,15-Dec-95,JPN,1f1,Fuse (JPN),18-Oct-15,1176
62,10.1,0.7,Shavez HART,6-Sep-92,BAH,2f6,"Waco, TX (USA)",18-Apr-15,1172
62,10.1,1.7,Jaylen BACON,5-Aug-96,USA,2,"Mobile, AL (USA)",8-May-15,1172
62,10.1,1.4,Aaron BROWN,27-May-92,CAN,1h3,Edmonton (CAN),3-Jul-15,1172
62,10.1,0.4,Hassan TAFTIAN,4-May-93,IRI,1,Almaty (KAZ),25-Jul-15,1172
66,10.11,0.3,Kemarley BROWN,20-Jul-92,JAM,1f4,Kingston (JAM),11-Apr-15,1169
66,10.11,1.4,Mosito LEHATA,8-Apr-89,LES,1f3,Réduit (MRI),12-Apr-15,1169
66,10.11,1.8,Daniel BAILEY,9-Sep-86,ANT,6f1,"National Stadium, Kingston (JAM)",9-May-15,1169
66,10.11,1.5,Maurice EADDY,4-Jun-95,USA,2,"Greensboro, NC (USA)",17-May-15,1169
66,10.11,0.8,Jacques RIPARELLI,27-Mar-83,ITA,3h1,La Chaux-de-Fonds (SUI),5-Jul-15,1169
71,10.12,1,Justin WALKER,30-Nov-90,USA,2f1,"Baton Rouge, LA (USA)",18-Apr-15,1165
71,10.12,1.9,Ramil GULIYEV,29-May-90,TUR,1f2,Isparta (TUR),9-May-15,1165
71,10.12,0.4,Jalen MILLER,17-Jun-95,USA,2,"Starkville, MS (USA)",16-May-15,1165
71,10.12,1.4,Aaron ERNEST,8-Nov-93,USA,4sf3,"Eugene, OR (USA)",10-Jun-15,1165
71,10.12,-1.2,James DASAOLU,5-Sep-87,GBR,5h2,"Olympic Stadium, London (GBR)",24-Jul-15,1172
71,10.12,1.4,Yohan BLAKE,26-Dec-89,JAM,1,Dublin (IRL),24-Jul-15,1165
71,10.12,0.4,Reza GHASEMI,24-Jul-87,IRI,2,Almaty (KAZ),25-Jul-15,1165
78,10.13,1.5,Taffawee JOHNSON,10-Mar-88,JAM,3,"Greensboro, NC (USA)",17-May-15,1162
78,10.13,1.9,Sven KNIPPHALS,20-Sep-85,GER,1h4,Regensburg (GER),6-Jun-15,1162
78,10.13,1.5,Anaso JOBODWANA,30-Jul-92,RSA,2,"Stadion Juliska, Praha (CZE)",8-Jun-15,1162
78,10.13,-0.3,Peimeng ZHANG,13-Mar-87,CHN,5h3,"National Stadium, Beijing (CHN)",22-Aug-15,1163
82,10.14,0.8,Tyquendo TRACEY,10-Jun-93,JAM,3h2,Kingston (JAM),25-Jun-15,1159
82,10.14,1,Michael FRATER,6-Oct-82,JAM,4h3,Kingston (JAM),25-Jun-15,1159
82,10.14,2,Noah LYLES,18-Jul-97,USA,1,"Eugene, OR (USA)",26-Jun-15,1159
82,10.14,1.9,Yancarlos MARTÍNEZ,8-Jul-92,DOM,4h1,"CIBC, Toronto (CAN)",21-Jul-15,1159
86,10.15,1.9,Jamol JAMES,16-Jul-92,TTO,1,"Tempe, AZ (USA)",2-May-15,1155
86,10.15,1.5,Keith RICKS,9-Oct-90,USA,4,"Greensboro, NC (USA)",17-May-15,1155
86,10.15,1.6,Zharnel HUGHES,13-Jul-95,AIA,1f1,Kingston (JAM),30-May-15,1155
86,10.15,1.8,Brijesh LAWRENCE,27-Dec-89,SKN,3f1,Basseterre (SKN),13-Jun-15,1155
86,10.15,1.1,Marcus DUNCAN,4-Dec-86,TTO,2f2,Port-of-Spain (TTO),27-Jun-15,1155
86,10.15,1.1,Akeem HAYNES,3-Nov-92,CAN,2h1,Edmonton (CAN),3-Jul-15,1155
