"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"rble","red-billed leiothrix","u",56,23.5,66,8,9.6,22
"rble","red-billed leiothrix","u",55,22.8,65,7.7,9.7,21
"rble","red-billed leiothrix","u",54,22.1,70,6.8,8.7,20
"rble","red-billed leiothrix","u",57,24.1,70,8.2,9.1,20
"rble","red-billed leiothrix","u",53,23,67,7.8,8.7,21
"rble","red-billed leiothrix","u",60,23.3,70,8.1,8.7,24
"rble","red-billed leiothrix","u",53,22.5,68,8,8.5,21
"rwbu","red-whiskered bulbul","u",81,20.8,84,9.4,11.8,28
"rwbu","red-whiskered bulbul","u",76,20,77,8.5,11.9,25
"rwbu","red-whiskered bulbul","u",79,19.9,83,9.5,10.5,30
"rwbu","red-whiskered bulbul","u",74,20,80,9.5,9,26
"rwbu","red-whiskered bulbul","u",78,20.5,81,9,11,25
"rwbu","red-whiskered bulbul","u",NA,18,85,8.2,10.5,23
"rwbu","red-whiskered bulbul","u",79,20.6,81,9.1,9.8,22
"rwbu","red-whiskered bulbul","u",79,18.6,79,8.5,10.1,23
"jawe","Japanese white-eye","u",41,16.9,58,6.6,8.6,11
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","f",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,23
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"jawe","Japanese white-eye","u",45,18,65,8.3,8.1,11
"jawe","Japanese white-eye","u",39,17.9,57,7.4,7.3,12
"wrsh","white-rumped shama","m",NA,NA,NA,NA,NA,NA
"jawe","Japanese white-eye","u",43,16.8,59,8,6.2,10
"jawe","Japanese white-eye","u",42,17.2,58,7.9,6.2,10
"jawe","Japanese white-eye","u",41,17.5,57,7.9,6.3,10
"jawe","Japanese white-eye","u",41,19,60,8.2,6,11
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,19
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,17.5
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,23
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,23
"rvbu","red-vented bulbul","u",93,23.3,98,10.5,12,44
"rble","red-billed leiothrix","u",56,24.3,69,7.6,9.2,21
"rble","red-billed leiothrix","u",49,23.5,68,7.6,9.6,22
"jawe","Japanese white-eye","u",42,17.1,59,7.8,7.5,11
"jawe","Japanese white-eye","u",42,17.7,60,8.1,7.4,14
"rble","red-billed leiothrix","u",49,23.4,64,7.7,9.3,21
"rble","red-billed leiothrix","u",52,24.2,67,NA,NA,22
"rble","red-billed leiothrix","u",56,23.2,66,7.9,8.2,22
"rble","red-billed leiothrix","u",52,23,67,7.6,8.1,21
"rble","red-billed leiothrix","u",54,24.1,68,7.9,10.2,18
"rble","red-billed leiothrix","u",55,25.6,71,8.5,9.9,21
"rwbu","red-whiskered bulbul","u",72,18.5,75,8.8,10.6,23
"rwbu","red-whiskered bulbul","u",77,20.9,82,8.4,10.3,22
"rvbu","red-vented bulbul","u",86,21.6,92,9.8,11.6,32
"rwbu","red-whiskered bulbul","u",76,20.3,84,8.9,10.5,24
"rwbu","red-whiskered bulbul","u",84,20.9,82,9.2,9.8,25
"jawe","Japanese white-eye","m",42,17.9,57,7.4,8.6,10
"jawe","Japanese white-eye","u",43,17.7,58,7.6,9.4,10
"rble","red-billed leiothrix","u",57,23.9,68,7.8,9.5,21
"wrsh","white-rumped shama","m",151,26.3,96,11.8,11,28
"rble","red-billed leiothrix","u",55,25.1,70,7.2,8.5,22
"jawe","Japanese white-eye","u",42,18.4,62,8.1,7.1,12
