genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Viburnum sp292,Adoxaceae,angio,Shrub,16.16,42.510,-74.138,505,7.60,880.00,766.00,173.20
Viburnum sp295,Adoxaceae,angio,Shrub,38.11,42.510,-74.138,505,7.60,880.00,766.00,173.20
Acer negundo,Sapindaceae,angio,Tree,18.47,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Acer pensylvanicum,Sapindaceae,angio,Tree,122.05,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Acer rubrum,Sapindaceae,angio,Tree,40.63,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Acer saccharum,Sapindaceae,angio,Tree,97.23,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Betula lenta,Betulaceae,angio,Tree,31.32,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Betula populifolia,Betulaceae,angio,Tree,12.67,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Carpinus caroliniana,Betulaceae,angio,Tree,21.33,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Carya glabra,Juglandaceae,angio,Tree,30.47,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Carya alba,Juglandaceae,angio,Tree,69.94,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Cornus florida,Cornaceae,angio,Tree,32.04,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Cornus amomum subsp. obliqua,Cornaceae,angio,Shrub,8.49,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Fagus grandifolia,Fagaceae,angio,Tree,41.2,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Fraxinus sp334,Oleaceae,angio,Tree,47.53,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Fraxinus sp337,Oleaceae,angio,Tree,38.67,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,80.78,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Ilex verticillata,Aquifoliaceae,angio,Shrub,11.87,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Juglans nigra,Juglandaceae,angio,Tree,22.93,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Liriodendron tulipifera,Magnoliaceae,angio,Tree,163.76,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Ostrya virginiana,Betulaceae,angio,Tree,26.11,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Platanus occidentalis,Platanaceae,angio,Tree,216.56,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Populus grandidentata,Salicaceae,angio,Tree,45.34,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Populus tremuloides,Salicaceae,angio,Tree,20.62,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Prunus serotina,Rosaceae,angio,Tree,20.21,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Quercus alba,Fagaceae,angio,Tree,45.66,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Quercus michauxii,Fagaceae,angio,Tree,86.88,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Quercus rubra,Fagaceae,angio,Tree,66.55,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Robinia sp375,Fabaceae,angio,Tree,6.66,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Salix lucida,Salicaceae,angio,Shrub,4.89,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Sassafras albidum,Lauraceae,angio,Tree,65.58,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Tilia americana,Malvaceae,angio,Tree,114.15,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Ulmus americana,Ulmaceae,angio,Tree,28.73,41.800,-73.750,75,9.50,1090.00,755.00,180.87
Acer rubrum,Sapindaceae,angio,Tree,27.71,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Acer saccharum,Sapindaceae,angio,Tree,40.72,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Betula alleghaniensis,Betulaceae,angio,Tree,28.5,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Betula lenta,Betulaceae,angio,Tree,44.42,41.530,-72.744,12,10.20,1210.00,877.00,185.63
(u_Betulaceae sp402,Betulaceae,angio,Tree,35.52,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Carpinus caroliniana,Betulaceae,angio,Tree,26.76,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Carya glabra,Juglandaceae,angio,Tree,34.06,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Carya alba,Juglandaceae,angio,Tree,54.79,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Cornus florida,Cornaceae,angio,Tree,28.42,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Fagus grandifolia,Fagaceae,angio,Tree,51.6,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Fraxinus americana,Oleaceae,angio,Tree,31.22,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,47.87,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Ilex verticillata,Aquifoliaceae,angio,Shrub,9.69,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Kalmia latifolia,Ericaceae,angio,Tree,5.28,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Lindera benzoin,Lauraceae,angio,Shrub,36.01,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Liriodendron tulipifera,Magnoliaceae,angio,Tree,50.14,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Nyssa sylvatica,Nyssaceae,angio,Tree,30.67,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Ostrya virginiana,Betulaceae,angio,Tree,18.1,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Populus grandidentata,Salicaceae,angio,Tree,39.62,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Quercus alba,Fagaceae,angio,Tree,64.58,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Quercus michauxii,Fagaceae,angio,Tree,58.5,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Quercus velutina,Fagaceae,angio,Tree,42.7,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Rhododendron periclymenoides,Ericaceae,angio,Shrub,13.16,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Rhododendron sp459,Ericaceae,angio,Shrub,17.21,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Sassafras albidum,Lauraceae,angio,Tree,57.35,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Vaccinium corymbosum,Ericaceae,angio,Shrub,12.94,41.530,-72.744,12,10.20,1210.00,877.00,185.63
Acer pensylvanicum,Sapindaceae,angio,Tree,108.36,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Acer rubrum,Sapindaceae,angio,Tree,43.5,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Amelanchier arborea,Rosaceae,angio,Tree,30.45,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Carpinus caroliniana,Betulaceae,angio,Tree,27.4,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Carya glabra var. odorata,Juglandaceae,angio,Tree,40.71,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Castanea dentata,Fagaceae,angio,Tree,60.19,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,35.06,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Kalmia latifolia,Ericaceae,angio,Tree,14.52,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Ledum palustre subsp. groenlandicum,Ericaceae,angio,Shrub,11.9,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Liriodendron tulipifera,Magnoliaceae,angio,Tree,85.2,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Nyssa sylvatica,Nyssaceae,angio,Tree,40.25,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Ostrya virginiana,Betulaceae,angio,Tree,41.47,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Populus grandidentata,Salicaceae,angio,Tree,35.67,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Prunus pensylvanica,Rosaceae,angio,Shrub,37.01,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Prunus serotina,Rosaceae,angio,Tree,20.61,40.630,-75.980,426,10.80,1160.00,775.00,183.05
