Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
46,11.14,1.3,Asha PHILIP,25-Oct-90,GBR,4h1,"Olympic Stadium, London (GBR)",5-Aug-17,1169
46,11.14,0.8,Crystal EMMANUEL,27-Nov-91,CAN,2h2,"Olympic Stadium, London (GBR)",5-Aug-17,1169
46,11.14,-0.2,Lisa MAYER,2-May-96,GER,1f2,"Olympiastadion, Berlin (GER)",27-Aug-17,1170
50,11.16,0.7,Mikele BARBER,4-Oct-80,USA,5f1,"Torrance, CA (USA)",15-Apr-17,1165
50,11.16,2,Javianne OLIVER,26-Dec-94,USA,3f1,"Baton Rouge, LA (USA)",29-Apr-17,1165
50,11.16,1.2,Tawanna MEADOWS,4-Aug-86,USA,1,"New York, NY (USA)",6-Jul-17,1165
53,11.17,1.4,Deanna HILL,13-Apr-96,USA,6h1,"Sacramento, CA (USA)",22-Jun-17,1163
53,11.17,2,Sally PEARSON,19-Sep-86,AUS,1f7,Brisbane (AUS),16-Dec-17,1163
55,11.18,1.2,Ángela Gabriela TENORIO,27-Jan-96,ECU,1,Rovereto (ITA),29-Aug-17,1161
56,11.19,1.1,Charonda WILLIAMS,27-Mar-87,USA,5f1,"Montverde, FL (USA)",10-Jun-17,1159
56,11.19,1,Shaunae MILLER-UIBO,15-Apr-94,BAH,5h2,"Alexander Stadium, Birmingham (GBR)",20-Aug-17,1159
58,11.2,1.6,Candyce MCGRONE,24-Mar-89,USA,4h2,"Sacramento, CA (USA)",22-Jun-17,1157
59,11.21,0.8,Destiny SMITH-BARNETT,26-Jul-96,USA,3f1,"Azusa, CA (USA)",14-Apr-17,1154
59,11.21,1.7,Quanesha BURKS,15-Mar-95,USA,2h1,"Columbia, SC (USA)",12-May-17,1154
61,11.22,1.2,Orphée NEOLA,1-Feb-91,FRA,2,Montgeron (FRA),14-May-17,1152
62,11.23,1.1,Candace HILL,11-Feb-99,USA,1h1,"Sacramento, CA (USA)",23-Jun-17,1150
63,11.24,0.9,Symone MASON,31-Aug-99,USA,1,"Jacksonville, FL (USA)",18-Mar-17,1148
63,11.24,1.3,Gabrielle THOMAS,7-Dec-96,USA,1f2,"Gainesville, FL (USA)",31-Mar-17,1148
63,11.24,0.4,Shericka JACKSON,16-Jul-94,JAM,1f1,Kingston (JAM),6-May-17,1148
63,11.24,0,Vitoria Cristina ROSA,12-Jan-96,BRA,2,Sao Bernardo do Campo (BRA),9-Jun-17,1148
63,11.24,0.2,Ashton PURVIS,12-Jul-92,USA,2f2,"Mesa, AZ (USA)",10-Jun-17,1148
63,11.24,1.6,Kevona DAVIS,20-Dec-01,JAM,1,Kingston (JAM),23-Jun-17,1148
63,11.24,0.3,Tatjana PINTO,2-Jul-92,GER,1h1,Ninove (BEL),15-Jul-17,1148
63,11.24,0.6,Ewa SWOBODA,26-Jul-97,POL,5h6,"Olympic Stadium, London (GBR)",5-Aug-17,1148
71,11.25,0.8,Naomi SEDNEY,17-Dec-94,NED,1f3,"Gainesville, FL (USA)",31-Mar-17,1146
71,11.25,1.8,Danielle WILLIAMS,14-Sep-92,JAM,2,"Greensboro, NC (USA)",15-Apr-17,1146
71,11.25,0.4,Brenessa THOMPSON,22-Jul-96,GUY,2h3,"Columbia, SC (USA)",12-May-17,1146
71,11.25,1.9,Sina MAYER,10-Apr-95,GER,1h2,Regensburg (GER),11-Jun-17,1146
71,11.25,1.6,Tiffany TOWNSEND,14-Jun-89,USA,6h2,"Sacramento, CA (USA)",22-Jun-17,1146
71,11.25,1.2,Andrea PURICA,21-Nov-95,VEN,1,Castellón (ESP),4-Jul-17,1146
71,11.25,0.8,Ivet LALOVA-COLLIO,18-May-84,BUL,7sf1,"Olympic Stadium, London (GBR)",6-Aug-17,1146
78,11.26,0.9,Marisol Narcisa LANDÁZURI,20-Aug-92,ECU,1f1,Medellín (COL),29-Apr-17,1144
