Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
38,11.17,0,Rosângela SANTOS,20-Dec-90,BRA,3sf1,"Olympic Stadium, London (GBR)",4-Aug-12,1163
41,11.18,2,Tameka WILLIAMS,31-Aug-89,SKN,1f6,"San Marcos, TX (USA)",28-Apr-12,1161
42,11.19,1.5,Michelle-Lee AHYE,10-Apr-92,TTO,2,"Walnut, CA (USA)",21-Apr-12,1159
42,11.19,1.7,Tatjana PINTO,2-Jul-92,GER,1h5,Weinheim (GER),26-May-12,1159
42,11.19,-0.3,Lawretta OZOH,5-Sep-90,NGR,3,Calabar (NGR),21-Jun-12,1160
42,11.19,1.6,Aurieyall SCOTT,18-May-92,USA,1,Irapuato (MEX),6-Jul-12,1159
42,11.19,1.5,Lina GRINČIKAITÉ-SAMUOLÉ,3-May-87,LTU,4h3,"Olympic Stadium, London (GBR)",3-Aug-12,1159
47,11.2,1.5,Me'Lisa BARBER,4-Oct-80,USA,3,"Walnut, CA (USA)",21-Apr-12,1157
47,11.2,1.5,Chastity RIGGIEN,5-Jul-89,USA,1f1,"Hattiesburg, MS (USA)",28-Apr-12,1157
47,11.2,2,Natalia POHREBNIAK,19-Feb-88,UKR,1sf3,Yalta (UKR),12-Jun-12,1157
47,11.2,-1.2,Sally PEARSON,19-Sep-86,AUS,1f1,Nivelles (BEL),23-Jun-12,1164
47,11.2,1.5,Jura LEVY,4-Nov-90,JAM,4h3,Kingston (JAM),29-Jun-12,1157
47,11.2,1.7,Anthonique STRACHAN,22-Aug-93,BAH,1,"Estadio Olímpico, Barcelona (ESP)",11-Jul-12,1157
47,11.2,0.6,Mariya RYEMYEN,2-Aug-87,UKR,1,Rovereto (ITA),4-Sep-12,1157
54,11.21,1.2,Abiodun OYEPITAN,30-Dec-79,GBR,1h1,"Orlando, FL (USA)",26-May-12,1154
54,11.21,1.8,Kai SELVON,13-Apr-92,TTO,3h3,"Des Moines, IA (USA)",6-Jun-12,1154
56,11.22,1.2,Tiffany TOWNSEND,14-Jun-89,USA,2f1,"Gainesville, FL (USA)",6-Apr-12,1152
56,11.22,0.6,Trisha-Ann HAWTHORNE,8-Nov-89,JAM,1,"New York, NY (USA)",30-May-12,1152
56,11.22,1.4,Leslie COLE,16-Feb-87,USA,1f1,"Los Angeles, CA (USA)",2-Jun-12,1152
56,11.22,1.5,Guzel KHUBBIEVA,2-May-76,UZB,3h6,"Olympic Stadium, London (GBR)",3-Aug-12,1152
60,11.24,1.5,Anneisha MCLAUGHLIN-WHILBY,6-Jan-86,JAM,1f1,Kingston (JAM),26-May-12,1148
60,11.24,1.4,Carrie RUSSELL,18-Oct-90,JAM,5h1,"Crystal Palace, London (GBR)",14-Jul-12,1148
62,11.25,1.1,Phylicia GEORGE,16-Nov-87,CAN,4,Port-of-Spain (TTO),19-May-12,1146
63,11.26,-1.8,Shalonda SOLOMON,19-Dec-85,USA,1f1,"Coral Gables, FL (USA)",14-Apr-12,1154
63,11.26,1,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,7,"National Stadium, Kingston (JAM)",5-May-12,1144
63,11.26,1.7,Olga BELKINA,23-Aug-90,RUS,2h2,Helsinki (FIN),27-Jun-12,1144
63,11.26,1,Tezdzhan NAIMOVA,1-May-87,BUL,3,"Guidobaldi, Rieti (ITA)",9-Sep-12,1144
67,11.27,1,Christine ARRON,13-Sep-73,FRA,1h2,Angers (FRA),16-Jun-12,1142
67,11.27,2,Melissa BREEN,17-Sep-90,AUS,2f2,Luzern (SUI),17-Jul-12,1142
69,11.28,1,Tori BOWIE,27-Aug-90,USA,2f1,"Baton Rouge, LA (USA)",21-Apr-12,1139
69,11.28,0.4,Alexis LOVE,24-Apr-91,USA,1,"Cape Girardeau, MO (USA)",5-May-12,1139
69,11.28,1.9,Paris DANIELS,25-Jan-90,USA,3,"Manhattan, KS (USA)",13-May-12,1139
72,11.29,1,Dezerea BRYANT,27-Apr-93,USA,1,"Charlottesville, VA (USA)",21-Apr-12,1137
72,11.29,1.2,Cleo VANBUREN,1-May-86,USA,1f2,"Clermont, FL (USA)",2-Jun-12,1137
74,11.3,0.6,Ana Claudia LEMOS,6-Nov-88,BRA,1h1,São Paulo (BRA),3-Mar-12,1135
74,11.3,2,Dominique DUNCAN,7-May-90,USA,1h3,"Austin, TX (USA)",28-Mar-12,1135
74,11.3,1.9,Darshay DAVIS,23-Sep-91,USA,3,"Baton Rouge, LA (USA)",13-May-12,1135
74,11.3,0.4,Reyare THOMAS,23-Nov-87,TTO,1,"Levelland, TX (USA)",17-May-12,1135
74,11.3,0.4,Cathleen TSCHIRCH,23-Jul-79,GER,1h2,Jena (GER),19-May-12,1135
74,11.3,0.3,Yuliya CHERMOSHANSKAYA,6-Jan-86,RUS,1,Yerino (RUS),14-Jul-12,1135
74,11.3,0.5,Viktoriya KASHEYEVA,7-May-89,UKR,,Albi (FRA),15-Aug-12,1135
81,11.31,1.5,Laura TURNER,12-Aug-82,GBR,4,"Walnut, CA (USA)",21-Apr-12,1133
81,11.31,1.5,Oludamola OSAYOMI,26-Jun-86,NGR,5,"Walnut, CA (USA)",21-Apr-12,1133
81,11.31,1.1,Anyika ONUORA,28-Oct-84,GBR,3f1,Regensburg (GER),2-Jun-12,1133
81,11.31,1.4,Lekeisha LAWSON,3-Jun-87,USA,2f1,"Los Angeles, CA (USA)",2-Jun-12,1133
85,11.32,2,Simone FACEY,7-May-85,JAM,1f1,"Orlando, FL (USA)",24-Mar-12,1131
85,11.32,1.2,Véronique MANG,15-Dec-84,FRA,1,Montgeron (FRA),13-May-12,1131
85,11.32,0.3,Kateřina ČECHOVÁ,21-Mar-88,CZE,1,Vyškov (CZE),16-Jun-12,1131
85,11.32,-1,Natalya RUSAKOVA,12-Dec-79,RUS,1sf1,Cheboksary (RUS),4-Jul-12,1137
85,11.32,0.4,Andreea OGRĂZEANU,24-Mar-90,ROU,1h1,Bucureşti (ROU),5-Jul-12,1131
90,11.33,-0.1,Shayla SANDERS,6-Jan-94,USA,1,"Fort Lauderdale, FL (USA)",24-Mar-12,1129
90,11.33,2,Tawanna MEADOWS,4-Aug-86,USA,2f6,"San Marcos, TX (USA)",28-Apr-12,1129
90,11.33,1.7,Cambrya JONES,20-Sep-90,USA,4h2,"Des Moines, IA (USA)",6-Jun-12,1129
90,11.33,,Nimet KARAKUS,23-Jan-93,TUR,1,Eskisehir (TUR),23-Jun-12,1129
94,11.34,1.5,Agnes OSAZUWA,21-Jun-90,NGR,6,"Walnut, CA (USA)",21-Apr-12,1127
94,11.34,0.3,Chisato FUKUSHIMA,27-Jun-88,JPN,1f1,Hiroshima (JPN),29-Apr-12,1127
94,11.34,1.3,Terra EVANS,7-Oct-89,USA,1f1,"Lubbock, TX (USA)",5-May-12,1127
94,11.34,0.6,Melinda SMEDLEY,11-Feb-81,USA,1f1,"Los Angeles, CA (USA)",5-May-12,1127
94,11.34,1.9,Chalonda GOODMAN,29-Sep-90,USA,5,"Manhattan, KS (USA)",13-May-12,1127
94,11.34,-0.1,Yelizaveta DEMIROVA,14-Aug-87,RUS,2,Moskva (RUS),11-Jun-12,1127
94,11.34,0.9,Maria BELIMPASAKI,19-Jun-91,GRE,1,Athina (GRE),15-Jun-12,1127
1,10.7,2,Carmelita JETER,24-Nov-79,USA,1,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1266
2,10.76,1.1,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,"Mestský Stadion, Ostrava (CZE)",31-May-11,1253
3,10.86,2,Marshevet HOOKER,25-Sep-84,USA,2,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1231
4,10.87,2,Kerron STEWART,16-Apr-84,JAM,3,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1228
5,10.9,0.4,Kelly-Ann BAPTISTE,14-Oct-86,TTO,3,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1222
6,10.95,2,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,4,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1211
7,10.96,0.8,Ivet LALOVA-COLLIO,18-May-84,BUL,1f1,Sliven (BUL),2-Jul-11,1209
8,10.99,1.8,Oludamola OSAYOMI,26-Jun-86,NGR,1f1,São Paulo (BRA),22-May-11,1202
9,11,2,Sherone SIMPSON,12-Aug-84,JAM,5,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1200
10,11.01,1.8,Alexandria ANDERSON,28-Jan-87,USA,2f1,São Paulo (BRA),22-May-11,1198
11,11.03,0.6,English GARDNER,22-Apr-92,USA,1,"Tucson, AZ (USA)",14-May-11,1193
12,11.05,1.7,Schillonie CALVERT-POWELL,27-Jul-88,JAM,1,"Blankers-Koen Stadion, Hengelo (NED)",29-May-11,1189
12,11.05,-0.7,Carrie RUSSELL,18-Oct-90,JAM,1,"National Stadium, Shenzhen (CHN)",17-Aug-11,1193
14,11.06,1.9,Murielle AHOURÉ,23-Aug-87,CIV,1f1,"Greensboro, NC (USA)",15-May-11,1187
15,11.08,2,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,7,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1182
15,11.08,1.5,Candyce MCGRONE,24-Mar-89,USA,1,"Des Moines, IA (USA)",10-Jun-11,1182
15,11.08,0.4,Shalonda SOLOMON,19-Dec-85,USA,4,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1182
18,11.09,1.1,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,2,"Mestský Stadion, Ostrava (CZE)",31-May-11,1180
18,11.09,1.5,Kimberlyn DUNCAN,2-Aug-91,USA,2,"Des Moines, IA (USA)",10-Jun-11,1180
18,11.09,1.6,Mikele BARBER,4-Oct-80,USA,2h1,"Hayward Field, Eugene, OR (USA)",23-Jun-11,1180
18,11.09,1.4,Ruddy ZANG MILAMA,6-Jun-87,GAB,1,Albi (FRA),29-Jul-11,1180
22,11.1,0.1,LaKya BROOKINS,28-Jul-89,USA,1,"Auburn, AL (USA)",16-Apr-11,1178
22,11.1,0.3,Jura LEVY,4-Nov-90,JAM,3,Kingston (JAM),24-Jun-11,1178
24,11.11,1.4,Véronique MANG,15-Dec-84,FRA,2,Albi (FRA),29-Jul-11,1176
25,11.12,1.1,Aurieyall SCOTT,18-May-92,USA,1,"Eugene, OR (USA)",24-Jun-11,1174
26,11.14,1.5,Jessica YOUNG-WARREN,6-Apr-87,USA,3,"Des Moines, IA (USA)",10-Jun-11,1169
26,11.14,2,Barbara PIERRE,28-Apr-87,USA,1f1,"Clermont, FL (USA)",11-Jun-11,1169
28,11.15,2,Lauryn WILLIAMS,11-Sep-83,USA,8,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1167
28,11.15,1.8,Aleen BAILEY,25-Nov-80,JAM,2h1,Kingston (JAM),24-Jun-11,1167
28,11.15,1.6,Jeanette KWAKYE,20-Mar-83,GBR,1f1,La Chaux-de-Fonds (SUI),3-Jul-11,1167
31,11.17,0.1,Sheniqua FERGUSON,24-Nov-89,BAH,2,"Auburn, AL (USA)",16-Apr-11,1163
31,11.17,-0.1,Semoy HACKETT,27-Nov-88,TTO,1h2,"Athens, GA (USA)",14-May-11,1163
31,11.17,-1.2,Natalia POHREBNIAK,19-Feb-88,UKR,1h3,Yalta (UKR),30-May-11,1170
31,11.17,1.6,LaShauntea MOORE,31-Jul-83,USA,3sf1,"Hayward Field, Eugene, OR (USA)",24-Jun-11,1163
31,11.17,1.4,Myriam SOUMARE,29-Oct-86,FRA,3,Albi (FRA),29-Jul-11,1163
36,11.18,1.6,Anyika ONUORA,28-Oct-84,GBR,1,Zeulenroda (GER),29-May-11,1161
36,11.18,0.5,Jodie WILLIAMS,28-Sep-93,GBR,1,Tallinn (EST),22-Jul-11,1161
38,11.19,1,Ana Claudia LEMOS,6-Nov-88,BRA,1h1,São Paulo (BRA),26-Mar-11,1159
38,11.19,,Tiffany TOWNSEND,14-Jun-89,USA,2,"Des Moines, IA (USA)",30-Apr-11,1159
38,11.19,0.6,Jessica DAVIS,31-Oct-92,USA,2,"Tucson, AZ (USA)",14-May-11,1159
38,11.19,0.5,Gloria ASUMNU,22-May-85,USA,2,Rio de Janeiro (BRA),26-May-11,1159
38,11.19,1.6,Kenyanna WILSON,27-Oct-88,USA,4sf1,"Hayward Field, Eugene, OR (USA)",24-Jun-11,1159
38,11.19,1.2,Dafne SCHIPPERS,15-Jun-92,NED,1f1,Mannheim (GER),13-Aug-11,1159
38,11.19,-2.2,Kai SELVON,13-Apr-92,TTO,1,Port-of-Spain (TTO),13-Aug-11,1172
45,11.2,1.5,Shayla MAHAN,18-Jan-89,USA,1f2,"Columbia, SC (USA)",26-Mar-11,1157
45,11.2,0.5,Sally PEARSON,19-Sep-86,AUS,1,Perth (AUS),31-Mar-11,1157
45,11.2,-1.2,Inna EFTIMOVA,19-Jun-88,BUL,1,Plovdiv (BUL),9-Jul-11,1164
45,11.2,-2.2,Michelle-Lee AHYE,10-Apr-92,TTO,2,Port-of-Spain (TTO),13-Aug-11,1170
49,11.21,0.6,Amber PURVIS,23-Jan-90,USA,3,"Tucson, AZ (USA)",14-May-11,1154
49,11.21,1.9,Rachelle BOONE-SMITH,30-Jun-81,USA,2f1,"Greensboro, NC (USA)",15-May-11,1154
49,11.21,0.3,Octavious FREEMAN,20-Apr-92,USA,1,"Orlando, FL (USA)",28-May-11,1154
49,11.21,2,Scottesha MILLER,14-Jan-88,USA,2f1,"Clermont, FL (USA)",11-Jun-11,1154
49,11.21,0.4,Mariya RYEMYEN,2-Aug-87,UKR,1,Strasbourg (FRA),12-Jun-11,1154
49,11.21,1.4,Ezinne OKPARAEBO,3-Mar-88,NOR,3h2,"DS, Daegu (KOR)",28-Aug-11,1154
55,11.22,0.2,Bianca KNIGHT,2-Jan-89,USA,3f2,Ponce (PUR),14-May-11,1152
55,11.22,-0.2,Rosângela SANTOS,20-Dec-90,BRA,1,Guadalajara (MEX),25-Oct-11,1153
57,11.23,1.6,Jeneba TARMOH,27-Sep-89,USA,4h1,"Hayward Field, Eugene, OR (USA)",23-Jun-11,1150
57,11.23,0.1,Laura TURNER,12-Aug-82,GBR,1,Bedford (GBR),16-Jul-11,1150
59,11.24,0.4,Olesya POVH,18-Oct-87,UKR,2,Strasbourg (FRA),12-Jun-11,1148
59,11.24,-0.3,Chisato FUKUSHIMA,27-Jun-88,JPN,1f1,Tottori (JPN),26-Jun-11,1149
61,11.26,1.8,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,4f1,São Paulo (BRA),22-May-11,1144
61,11.26,-0.2,Shakera REECE,31-Aug-88,BAR,3,Guadalajara (MEX),25-Oct-11,1145
63,11.27,1.9,Cydonie MOTHERSILL,19-Mar-78,CAY,1,"Atlanta, GA (USA)",5-Jun-11,1142
64,11.28,1.4,Carima LOUAMI,12-May-79,FRA,4,Albi (FRA),29-Jul-11,1139
64,11.28,0.5,Aleksandra FEDORIVA-SPAYER,13-Sep-88,RUS,3h7,"DS, Daegu (KOR)",28-Aug-11,1139
66,11.29,0.6,Jasmine BALDWIN-FOSS,27-Sep-86,USA,1f1,"Los Angeles, CA (USA)",7-May-11,1137
66,11.29,1.8,Christina MANNING,29-May-90,USA,1,"Iowa City, IA (USA)",15-May-11,1137
66,11.29,0.6,Tianna BARTOLETTA,30-Aug-85,USA,1h2,"Clermont, FL (USA)",21-May-11,1137
66,11.29,1,Yasmin KWADWO,9-Nov-90,GER,1f1,Weinheim (GER),28-May-11,1137
70,11.3,1.9,Simone FACEY,7-May-85,JAM,8,"National Stadium, Kingston (JAM)",7-May-11,1135
70,11.3,2,Joanna ATKINS,31-Jan-89,USA,2,Rethymno (GRE),13-Jul-11,1135
70,11.3,0,Yuliya GUSHCHINA,4-Mar-83,RUS,1h3,Cheboksary (RUS),21-Jul-11,1135
70,11.3,-2.2,Ayanna HUTCHINSON,18-Feb-78,TTO,3,Port-of-Spain (TTO),13-Aug-11,1148
74,11.31,0.9,Trisha-Ann HAWTHORNE,8-Nov-89,JAM,1f1,"Storrs, CT (USA)",9-Apr-11,1133
74,11.31,-0.1,Consuella MOORE,29-Aug-81,USA,2,"Walnut, CA (USA)",16-Apr-11,1133
74,11.31,1.7,Stephanie DURST,6-Jan-82,USA,5,"Blankers-Koen Stadion, Hengelo (NED)",29-May-11,1133
74,11.31,2,Toyin OLUPONA,29-Jan-83,CAN,3f1,"Clermont, FL (USA)",11-Jun-11,1133
74,11.31,2,Nickesha WILLIAMS,2-Apr-87,USA,3f1,"Clermont, FL (USA)",11-Jun-11,1133
79,11.32,0.9,Endurance ABINUWA,31-Jul-87,NGR,2f1,"El Paso, TX (USA)",16-Apr-11,1131
79,11.32,0.6,Dominique DUNCAN,7-May-90,USA,1h3,"Norman, OK (USA)",14-May-11,1131
79,11.32,1.4,Céline DISTEL-BONNET,25-Jul-87,FRA,5,Albi (FRA),29-Jul-11,1131
82,11.33,1.9,Marta JESCHKE,2-Jun-86,POL,1,Kraków (POL),12-Jun-11,1129
82,11.33,1.6,Leena GÜNTHER,16-Apr-91,GER,1sr2,Mannheim (GER),13-Aug-11,1129
84,11.34,0.6,Marecia PEMBERTON,7-Jan-90,SKN,1f1,"Tallahassee, FL (USA)",9-Apr-11,1127
84,11.34,1.9,Chelsea HAYES,9-Feb-88,USA,1h1,"Honolulu, HI (USA)",12-May-11,1127
84,11.34,1.3,Chastity RIGGIEN,5-Jul-89,USA,3h4,"Hayward Field, Eugene, OR (USA)",23-Jun-11,1127
84,11.34,1.8,Andreea OGRĂZEANU,24-Mar-90,ROU,1,Bucureşti (ROU),29-Jun-11,1127
84,11.34,-0.7,Nelky CASABONA,12-May-84,CUB,1,Barquisimeto (VEN),27-Jul-11,1131
84,11.34,1.4,Ayodele IKUESAN,15-May-85,FRA,6,Albi (FRA),29-Jul-11,1127
84,11.34,-0.7,Hrystyna STUY,3-Feb-88,UKR,2,"National Stadium, Shenzhen (CHN)",17-Aug-11,1131
91,11.35,2,Dominique WARD-HOLMES,25-Jun-86,USA,1f4,"Nashville, TN (USA)",9-Apr-11,1125
91,11.35,1.1,Sheila PAUL,30-Sep-89,USA,2,"Houston, TX (USA)",15-May-11,1125
91,11.35,1.7,Samantha HENRY-ROBINSON,25-Sep-88,JAM,2h1,"Clermont, FL (USA)",21-May-11,1125
91,11.35,1.2,Grecia BOLTON,2-Oct-89,USA,1h4,"Eugene, OR (USA)",26-May-11,1125
91,11.35,1,Marion WAGNER,1-Feb-78,GER,2f1,Weinheim (GER),28-May-11,1125
91,11.35,0,Darya PIZHANKOVA,9-Jan-90,UKR,2f2,Yalta (UKR),30-May-11,1125
91,11.35,2,Weronika WEDLER,17-Jul-89,POL,1h3,Sosnowiec (POL),11-Jun-11,1125
98,11.36,-0.1,Virginia CRAWFORD,7-Sep-83,USA,3,"Walnut, CA (USA)",16-Apr-11,1123
98,11.36,1.6,Yongli WEI,11-Oct-91,CHN,1,Nanchang (CHN),16-Jul-11,1123
98,11.36,1.2,Charonda WILLIAMS,27-Mar-87,USA,1,Lapinlahti (FIN),24-Jul-11,1123
1,10.78,0.8,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,"Hayward Field, Eugene, OR (USA)",3-Jul-10,1248
2,10.82,0.4,Carmelita JETER,24-Nov-79,USA,1,"Stade Louis II, Monaco (MON)",22-Jul-10,1239
3,10.84,1.8,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1f1,"Clermont, FL (USA)",5-Jun-10,1235
4,10.9,1.8,Shalonda SOLOMON,19-Dec-85,USA,2f1,"Clermont, FL (USA)",5-Jun-10,1222
5,10.96,1.4,Kerron STEWART,16-Apr-84,JAM,2,Kingston (JAM),1-May-10,1209
6,10.97,1.2,LaShauntea MOORE,31-Jul-83,USA,1,Maringa (BRA),30-May-10,1206
6,10.97,0,Marshevet HOOKER,25-Sep-84,USA,3,"Letzigrund, Zürich (SUI)",19-Aug-10,1206
8,11,0.3,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1h1,"Crystal Palace, London (GBR)",14-Aug-10,1200
9,11.02,0.3,Sherone SIMPSON,12-Aug-84,JAM,3,"International Stadium, Gateshead (GBR)",10-Jul-10,1195
10,11.04,1.8,Alexandria ANDERSON,28-Jan-87,USA,3f1,"Clermont, FL (USA)",5-Jun-10,1191
11,11.05,1.7,Yelena NEVMERZHITSKAYA,27-Jul-80,BLR,1,Grodno (BLR),26-Jun-10,1189
12,11.08,0.4,Sheri-Ann BROOKS,11-Feb-83,JAM,1,Baie Mahault (FRA),1-May-10,1182
13,11.1,-0.6,Verena SAILER,16-Oct-85,GER,1,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1181
14,11.11,2,Laura TURNER,12-Aug-82,GBR,1f1,La Chaux-de-Fonds (SUI),4-Jul-10,1176
14,11.11,-0.6,Véronique MANG,15-Dec-84,FRA,2,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1179
16,11.13,2,Gabrielle MAYO,26-Jan-89,USA,1,"Austin, TX (USA)",3-Apr-10,1172
16,11.13,1.5,Chandra STURRUP,12-Sep-71,BAH,1,"Mestský Stadion, Ostrava (CZE)",27-May-10,1172
18,11.14,1.2,Carrie RUSSELL,18-Oct-90,JAM,3h1,"International Stadium, Gateshead (GBR)",10-Jul-10,1169
19,11.15,0.4,Gloria ASUMNU,22-May-85,USA,2,Baie Mahault (FRA),1-May-10,1167
19,11.15,1.8,Ruddy ZANG MILAMA,6-Jun-87,GAB,2,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1167
19,11.15,0.6,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,2,"Guidobaldi, Rieti (ITA)",29-Aug-10,1167
19,11.15,1.4,Ana Claudia LEMOS,6-Nov-88,BRA,1,São Paulo (BRA),4-Sep-10,1167
23,11.16,1.2,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,2,Maringa (BRA),30-May-10,1165
23,11.16,1.4,Octavious FREEMAN,20-Apr-92,USA,1,"Clermont, FL (USA)",12-Jun-10,1165
25,11.17,0.9,Mikele BARBER,4-Oct-80,USA,1,"Bislett Stadion, Oslo (NOR)",4-Jun-10,1163
25,11.17,2,Ashton PURVIS,12-Jul-92,USA,1,"Clovis, CA (USA)",5-Jun-10,1163
27,11.18,2,Samantha HENRY-ROBINSON,25-Sep-88,JAM,2,"Austin, TX (USA)",3-Apr-10,1161
27,11.18,0.5,Porscha LUCAS,18-Jun-88,USA,1f3,"Austin, TX (USA)",28-May-10,1161
27,11.18,-0.6,Myriam SOUMARE,29-Oct-86,FRA,3,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1164
30,11.19,0.1,Jeneba TARMOH,27-Sep-89,USA,1,"Columbia, MO (USA)",16-May-10,1159
30,11.19,1.1,Sheniqua FERGUSON,24-Nov-89,BAH,1,"Knoxville, TN (USA)",16-May-10,1159
30,11.19,0.3,Aleen BAILEY,25-Nov-80,JAM,4h1,"Crystal Palace, London (GBR)",14-Aug-10,1159
33,11.2,0.8,Tianna BARTOLETTA,30-Aug-85,USA,1,Villeneuve d'Ascq (FRA),24-Aug-10,1157
34,11.21,1.7,Chisato FUKUSHIMA,27-Jun-88,JPN,1,Hiroshima (JPN),29-Apr-10,1154
35,11.22,1.7,Yuliya KATSURA,28-May-83,RUS,1,Sochi (RUS),27-May-10,1152
35,11.22,1.1,Kenyanna WILSON,27-Oct-88,USA,2f3,"Greensboro, NC (USA)",28-May-10,1152
35,11.22,1.8,Oludamola OSAYOMI,26-Jun-86,NGR,3,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1152
38,11.23,-0.6,Ezinne OKPARAEBO,3-Mar-88,NOR,4,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1153
39,11.24,1.7,Anna GUROVA,29-Apr-81,RUS,2,Sochi (RUS),27-May-10,1148
39,11.24,0.8,Jodie WILLIAMS,28-Sep-93,GBR,1,Bedford (GBR),31-May-10,1148
39,11.24,1.9,Georgia KOKLONI,7-May-81,GRE,1h1,Patra (GRE),12-Jun-10,1148
42,11.25,1.7,Yuliya BALYKINA,12-Apr-84,BLR,2,Grodno (BLR),26-Jun-10,1146
42,11.25,1,Mariya RYEMYEN,2-Aug-87,UKR,3sf1,"Estadio Olímpico, Barcelona (ESP)",29-Jul-10,1146
44,11.26,1.1,Takeia PINCKNEY,24-Jul-91,USA,2,"Knoxville, TN (USA)",16-May-10,1144
45,11.27,0.4,Semoy HACKETT,27-Nov-88,TTO,1h1,"Charlotte, NC (USA)",27-May-10,1142
45,11.27,0.4,Yevgeniya POLYAKOVA,29-May-83,RUS,1h2,Yerino (RUS),11-Jun-10,1142
45,11.27,-2.5,Allyson FELIX,18-Nov-85,USA,1,"Drake Stadium, Des Moines, IA (USA)",25-Jun-10,1157
48,11.28,2,Jura LEVY,4-Nov-90,JAM,4,"Austin, TX (USA)",3-Apr-10,1139
48,11.28,0.9,Charonda WILLIAMS,27-Mar-87,USA,1,"Walnut, CA (USA)",17-Apr-10,1139
48,11.28,1.9,Terra EVANS,7-Oct-89,USA,1f1,"Norman, OK (USA)",24-Apr-10,1139
48,11.28,1.6,Yuna MEKHTI-ZADE,25-Apr-86,RUS,2,Saransk (RUS),13-Jul-10,1139
48,11.28,1,Sally PEARSON,19-Sep-86,AUS,1sf3,New Delhi (IND),7-Oct-10,1139
53,11.29,0.6,Marecia PEMBERTON,7-Jan-90,SKN,1f1,"Greensboro, NC (USA)",28-May-10,1137
53,11.29,0.2,Olesya POVH,18-Oct-87,UKR,1f1,Donetsk (UKR),1-Jul-10,1137
55,11.3,1.9,Scottesha MILLER,14-Jan-88,USA,2f1,"Norman, OK (USA)",24-Apr-10,1135
55,11.3,0.3,Christine ARRON,13-Sep-73,FRA,1sf1,Valence (FRA),8-Jul-10,1135
57,11.31,1.8,LaKya BROOKINS,28-Jul-89,USA,3f1,"Greensboro, NC (USA)",17-Apr-10,1133
57,11.31,1.1,Shayla MAHAN,18-Jan-89,USA,1h6,"Greensboro, NC (USA)",27-May-10,1133
57,11.31,1.4,Aleksandra FEDORIVA-SPAYER,13-Sep-88,RUS,1h1,Yerino (RUS),11-Jun-10,1133
57,11.31,1.1,Trisha-Ann HAWTHORNE,8-Nov-89,JAM,4,Kingston (JAM),26-Jun-10,1133
61,11.32,0.7,Erika RIVERA,11-Nov-86,PUR,4f3,Ponce (PUR),8-May-10,1131
61,11.32,1.1,Michelle-Lee AHYE,10-Apr-92,TTO,1,Port-of-Spain (TTO),26-Jun-10,1131
61,11.32,1.7,Hrystyna STUY,3-Feb-88,UKR,1,Moskva (RUS),29-Jun-10,1131
61,11.32,1.6,Joanna ATKINS,31-Jan-89,USA,1,Lapinlahti (FIN),18-Jul-10,1131
65,11.33,0,Yasmin KWADWO,9-Nov-90,GER,1,Mannheim (GER),3-Jul-10,1129
65,11.33,0,Anne CIBIS,27-Sep-85,GER,1,Mannheim (GER),3-Jul-10,1129
65,11.33,0.3,Cydonie MOTHERSILL,19-Mar-78,CAY,4,Rethymno (GRE),7-Jul-10,1129
65,11.33,,Agnes OSAZUWA,21-Jun-90,NGR,2sf2,"Nyayo National Stadium, Nairobi (KEN)",28-Jul-10,1129
65,11.33,0.3,Natasha JOE-MAYERS,10-Mar-79,VIN,1h1,New Delhi (IND),6-Oct-10,1129
70,11.34,1,Melissa BREEN,17-Sep-90,AUS,1,Canberra (AUS),20-Mar-10,1127
70,11.34,1.2,Virginia CRAWFORD,7-Sep-83,USA,1,"Walnut, CA (USA)",17-Apr-10,1127
70,11.34,1.5,Consuella MOORE,29-Aug-81,USA,1f1,"Irvine, CA (USA)",2-May-10,1127
